gers_id,name,brand_token,latitude,longitude,city,state,tier,matched_opis_id,matched_name,matched_geocode_precision,distance_mi,decision,reason
00fb79cc-6623-462f-bb7d-bc5edf8f0f62,Chevron Station / Extra Mile Santa Ana,,33.76682890,-117.90270960,Santa Ana,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
00fe78ab-214e-42b5-a641-12c0fb8de75e,Sinclair Gas Station,,37.50568932,-120.85868123,Turlock,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01035651-b41e-4412-a1bf-07aef465ccdb,76,,37.28782000,-120.45367000,Merced,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0105be3b-8cbb-4eb9-9a2a-77957193fd0e,Twin Peaks Petroleum Inc,,37.74576722,-122.45182086,San Francisco,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0106a9f2-e16d-477f-9918-aa157701c04f,Sinclair Gas Station,,38.44611026,-121.82650202,Dixon,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0109141e-047d-4f82-9877-8ae921745f44,76,,34.00388800,-117.54657600,Jurupa Valley,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
011149e7-f10c-4ebb-89e3-dd2443027d49,SHAW'S SOLEDAD GULF,,36.41891300,-121.32202100,Soledad,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01248722-f822-467a-b90d-2043fd603d96,76,,34.60143400,-118.14827100,Palmdale,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0128a857-70a9-4c09-b64c-1632fe57a532,Chevron,,37.75457935,-121.46706336,Tracy,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
012f2c21-6ab4-4d35-978a-867faf185f5a,Rotten Robbie,,37.30992313,-121.90272595,San Jose,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0132497c-6c95-49ad-8251-df0f79bccdbe,West Newport Oil Co,,33.63609236,-117.94154711,Costa Mesa,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
013de185-d9c8-4159-8ba7-e456f66fe508,Shell,,40.50472627,-122.33477913,Redding,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0174745f-89c1-4e61-9f4b-c94ad1e0c3f6,Blue Star Gas,,41.35310000,-122.34944000,Mt Shasta,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01768900-30b7-4dc2-a2eb-7690f326b921,ARCO,,34.12333300,-118.25411000,Glendale,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
017c29b3-8116-4772-9ee4-1ac77ce5beda,Shell,,34.01240907,-118.41727134,Culver City,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0180f139-5b19-444f-a2ba-e094a7d9b33b,Bassett-Hyland Energy,,43.22648153,-123.35456162,Roseburg,OR,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01852ace-d8e0-47a4-847f-fee0195b6118,Chevron Station / Extra Mile Santa Cruz,,36.97436700,-122.01833000,Santa Cruz,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0187c62b-3536-45cb-9391-bc18dd4cd969,ARCO,,33.88491550,-117.35044380,Riverside,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01892aa8-cc82-472c-b985-8136e2d16542,Fremont Gas and Mart,,37.51335258,-121.96484538,Fremont,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
018992f0-41e4-43c1-9b44-ed942982e0c0,Chevron Station Placerville,,38.73170800,-120.78298800,Placerville,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
018bc353-3604-4c67-899b-45708918b510,76,,34.15037700,-118.08286000,Pasadena,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01913907-231f-42e1-88d6-5b7d03e45e1d,Trillium,,38.67947000,-121.75338000,Woodland,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0192ed89-86d0-40cc-a02d-cdc89d882bf2,Chevron,,40.62703448,-122.40464431,REDDING,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0199a033-35bd-4902-815a-cfb17e0129a4,76,,39.12737100,-121.55494600,Marysville,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
019ca2a5-bb58-40b2-856e-3b984eab9583,Valero,,38.69870333,-120.99480750,Shingle Springs,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
019e2e29-d447-4805-825e-ba089a1c69c3,Sinclair Gas Station,,43.46189260,-121.69647630,Crescent,OR,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01a674b2-dc02-4d31-b6b9-5ecc93b0ff5c,Chevron,,37.57322471,-122.31172550,SAN MATEO,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01ad417c-4dda-444a-95f5-9fdb0b7562c3,VP Racing Fuels,,39.10978199,-121.55534416,Marysville,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01b11b5a-c546-493e-b43b-22258e59825d,Mobil,,33.70530171,-117.78767575,Irvine,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
