opis_id,name,address,city,state,rack_id,retail_price,observation_count,price_min,price_max,latitude,longitude,geocode_precision,geocode_status
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.79900000,2,3.79900000,3.82900000,38.04614900,-87.56171500,city,ok
207,MARATHON,SR-32,Sardinia,OH,300,3.56566666,1,3.56566666,3.56566666,39.00711300,-83.80210100,city,ok
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,1,3.41566666,3.41566666,30.40270400,-88.78864700,city,ok
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,1,3.02566666,3.02566666,38.81308500,-97.61447700,city,ok
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.99900000,1,2.99900000,2.99900000,37.35707100,-84.33286900,city,ok
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.35900000,2,3.35900000,3.41233333,29.17751000,-82.15102500,city,ok
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.03900000,1,3.03900000,3.03900000,30.44383500,-91.20741000,city,ok
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.17900000,1,3.17900000,3.17900000,41.14487826,-87.45436687,rooftop,ok
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,1,2.98233333,2.98233333,30.23836000,-92.18907000,city,ok
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.72900000,1,3.72900000,3.72900000,30.05342000,-89.93450200,city,ok
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.49900000,1,3.49900000,3.49900000,38.88215600,-99.32197500,city,ok
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,1,3.32566666,3.32566666,35.14955400,-90.19926600,city,ok
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,165,3.89900000,1,3.89900000,3.89900000,39.69691600,-79.15284900,city,ok
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls,MT,815,3.63566666,1,3.63566666,3.63566666,47.50251800,-111.29997000,city,ok
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.55900000,1,3.55900000,3.55900000,41.93516900,-86.56711000,city,ok
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.39900000,1,3.39900000,3.39900000,37.76067000,-100.01786300,city,ok
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,325,3.34900000,5,3.24900000,3.55900000,41.91658600,-83.38432400,city,ok
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.49900000,1,3.49900000,3.49900000,38.96077800,-87.40142400,city,ok
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.39900000,1,3.39900000,3.39900000,39.29647600,-85.95027400,city,ok
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.22900000,1,3.22900000,3.22900000,38.95955100,-95.26546800,city,ok
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,1,3.23233333,3.23233333,37.26914800,-95.55335400,city,ok
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,1,3.25566666,3.25566666,38.15965100,-96.56201400,city,ok
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.59900000,1,3.59900000,3.59900000,42.11545400,-72.53997800,city,ok
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.19900000,1,3.19900000,3.19900000,39.12253900,-94.74178100,city,ok
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,1,3.46566666,3.46566666,41.12959500,-101.72067700,city,ok
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard,UT,835,3.74900000,1,3.74900000,3.74900000,41.40317200,-112.04253900,city,ok
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.46900000,1,3.46900000,3.46900000,,,,failed
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,1,3.99066666,3.99066666,41.58849000,-87.17945600,city,ok
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.69900000,4,3.68900000,3.76900000,42.10133100,-75.90936900,city,ok
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,1,3.31566666,3.31566666,30.33686400,-81.66160300,city,ok
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,12,3.74900000,2,3.74900000,3.79900000,,,,failed
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.99900000,1,3.99900000,3.99900000,41.61873600,-87.49494900,city,ok
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,1,2.91566666,2.91566666,31.95951400,-95.26570500,city,ok
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.48900000,1,3.48900000,3.48900000,32.51628600,-114.52178200,city,ok
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.71900000,1,3.71900000,3.71900000,40.24204100,-82.87076300,city,ok
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.69900000,1,3.69900000,3.69900000,41.02072600,-81.86713600,city,ok
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.42900000,1,3.42900000,3.42900000,39.96524800,-82.48650600,city,ok
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg,OH,550,3.49900000,1,3.49900000,3.49900000,41.53898600,-83.64413200,city,ok
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,1,3.30233333,3.30233333,35.46707900,-97.51365700,city,ok
