name,state,lat,lng
Eclectic town,AL,32.640222,-86.041062
Edgewater CDP,AL,33.530099,-86.95279
Edwardsville town,AL,33.88374,-85.414124
Egypt CDP,AL,34.075938,-86.165054
Elba city,AL,31.417218,-86.077115
Elberta town,AL,30.373753,-87.595729
Eldridge town,AL,33.923053,-87.622869
Elkmont town,AL,34.932604,-86.976971
Elmore town,AL,32.556606,-86.341025
Emelle town,AL,32.728678,-88.316486
Emerald Mountain CDP,AL,32.447694,-86.094381
Enterprise city,AL,31.325529,-85.846071
Epes town,AL,32.695049,-88.141963
Equality CDP,AL,32.765659,-86.123185
Ethelsville town,AL,33.414066,-88.216093
Eufaula city,AL,31.909937,-85.152709
Eunola CDP,AL,31.031391,-85.833966
Eutaw city,AL,32.846247,-87.900332
Eva town,AL,34.326504,-86.765318
Evergreen city,AL,31.433216,-86.976081
Excel town,AL,31.426386,-87.343663
Fairfield city,AL,33.474802,-86.919407
Fairford CDP,AL,31.178002,-88.072784
Fairhope city,AL,30.52092,-87.879122
Fairview town,AL,34.250195,-86.677724
Falkville town,AL,34.377019,-86.909547
Faunsdale town,AL,32.457614,-87.593789
Fayette city,AL,33.694215,-87.831169
Fayetteville CDP,AL,33.168097,-86.442774
Fitzpatrick CDP,AL,32.210377,-85.873693
Five Points town,AL,33.017311,-85.351592
Flomaton town,AL,31.014816,-87.256016
Florala town,AL,31.022391,-86.318152
Florence city,AL,34.82981,-87.662202
Foley city,AL,30.397071,-87.668458
Forestdale CDP,AL,33.573632,-86.90011
Forkland town,AL,32.647435,-87.867436
Fort Deposit town,AL,31.986261,-86.566359
Fort Novosel CDP,AL,31.342576,-85.716072
Fort Payne city,AL,34.457329,-85.689447
Franklin town,AL,32.452693,-85.78541
Fredonia CDP,AL,32.983613,-85.292333
Frisco City town,AL,31.439485,-87.404182
Fruitdale CDP,AL,31.34979,-88.410937
Fruithurst town,AL,33.729539,-85.431249
Fulton town,AL,31.790989,-87.744212
Fultondale city,AL,33.617363,-86.801436
Fyffe town,AL,34.448957,-85.905167
Gadsden city,AL,34.006597,-86.016078
Gainesville town,AL,32.814934,-88.160791
Gallant CDP,AL,34.001318,-86.230171
Gantt town,AL,31.41074,-86.483524
Garden City town,AL,34.014688,-86.749054
Gardendale city,AL,33.674039,-86.80846
Gaylesville town,AL,34.267444,-85.561248
Geiger town,AL,32.868715,-88.318154
Geneva city,AL,31.043278,-85.875833
Georgiana town,AL,31.639134,-86.746762
Geraldine town,AL,34.359087,-86.002579
Gilbertown town,AL,31.866247,-88.307545
Glen Allen town,AL,33.892108,-87.732682
Glencoe city,AL,33.948339,-85.933606
Glenwood town,AL,31.671266,-86.173687
Goldville town,AL,33.084867,-85.777982
Good Hope city,AL,34.110689,-86.867104
Goodwater town,AL,33.060713,-86.052486
Gordo town,AL,33.322286,-87.903681
Gordon town,AL,31.143606,-85.092504
Gordonville town,AL,32.159179,-86.704235
Goshen town,AL,31.720015,-86.123245
Graham CDP,AL,33.455191,-85.323085
Grand Bay CDP,AL,30.472082,-88.344401
Grant town,AL,34.518173,-86.26043
Grayson Valley CDP,AL,33.646568,-86.641942
Graysville city,AL,33.633756,-86.941398
Greensboro city,AL,32.700968,-87.5937
Greenville city,AL,31.843072,-86.636951
Grimes town,AL,31.299869,-85.45029
Grove Hill town,AL,31.69867,-87.772868
Guin city,AL,33.98322,-87.902363
Gulfcrest CDP,AL,30.991107,-88.24223
Gulf Shores city,AL,30.277172,-87.702355
Guntersville city,AL,34.367947,-86.252323
Gurley town,AL,34.701364,-86.380271
Gu-Win town,AL,33.94433,-87.870376
Hackleburg town,AL,34.269355,-87.830402
Hackneyville CDP,AL,33.054654,-85.934423
Haleburg town,AL,31.409976,-85.138068
Haleyville city,AL,34.233832,-87.617574
Hamilton city,AL,34.138713,-87.970833
Hammondville town,AL,34.566232,-85.640348
Hanceville city,AL,34.06401,-86.764436
Hanover CDP,AL,33.002922,-86.200931
Harpersville town,AL,33.317725,-86.428431
Hartford city,AL,31.105348,-85.691225
Hartselle city,AL,34.440434,-86.940364
Harvest CDP,AL,34.85507,-86.758643
Hatton CDP,AL,34.560671,-87.413835
Hayden town,AL,33.894514,-86.744224
Hayneville town,AL,32.182595,-86.578588
Hazel Green CDP,AL,34.923656,-86.567392
Headland city,AL,31.354974,-85.357031
Heath town,AL,31.344839,-86.46905
Heflin city,AL,33.6474,-85.569339
Helena city,AL,33.284471,-86.886484
Henagar city,AL,34.630641,-85.730918
Highland Lake town,AL,33.894586,-86.422553
Highland Lakes CDP,AL,33.397611,-86.64792
Hillsboro town,AL,34.642586,-87.178489
Hissop CDP,AL,32.890568,-86.129601
Hobson CDP,AL,31.488725,-88.150928
Hobson City town,AL,33.618801,-85.846146
Hodges town,AL,34.334246,-87.92316
Hokes Bluff city,AL,33.989682,-85.862873
Hollins CDP,AL,33.121757,-86.126967
Hollis Crossroads CDP,AL,33.531333,-85.652862
Holly Pond town,AL,34.167686,-86.612067
Hollywood town,AL,34.717279,-85.965579
Holt CDP,AL,33.229745,-87.482894
Holtville CDP,AL,32.630299,-86.328004
Homewood city,AL,33.45855,-86.80965
Hoover city,AL,33.375128,-86.809416
Horn Hill town,AL,31.238137,-86.325163
Hueytown city,AL,33.408604,-87.016565
Huguley CDP,AL,32.843062,-85.239635
Huntsville city,AL,34.69772,-86.67667
Hurtsboro town,AL,32.24009,-85.41467
Hytop town,AL,34.896635,-86.089176
Ider town,AL,34.702599,-85.668958
Indian Springs Village city,AL,33.361209,-86.746856
Irondale city,AL,33.539914,-86.659082
Ivalee CDP,AL,34.037204,-86.147182
Jackson city,AL,31.532321,-87.891183
Jacksons' Gap town,AL,32.880932,-85.818278
Jacksonville city,AL,33.810066,-85.755217
Jasper city,AL,33.85111,-87.268348
Jemison city,AL,32.970705,-86.73307
Joppa CDP,AL,34.29955,-86.549946
Kansas town,AL,33.902808,-87.556598
Kellyton town,AL,32.979188,-86.034608
Kennedy town,AL,33.580722,-87.9855
Killen town,AL,34.860954,-87.529346
Kimberly city,AL,33.776982,-86.800198
Kinsey city,AL,31.296269,-85.334994
Kinston town,AL,31.219604,-86.170075
Ladonia CDP,AL,32.459709,-85.090423
La Fayette city,AL,32.899427,-85.400795
Lakeview town,AL,34.391675,-85.975573
Lake View city,AL,33.281696,-87.1413
Lanett city,AL,32.858649,-85.207788
Langston town,AL,34.545063,-86.09335
Leeds city,AL,33.546847,-86.571448
Leesburg town,AL,34.178627,-85.777897
Leighton town,AL,34.69368,-87.524282
Leroy CDP,AL,31.494971,-87.972773
Lester town,AL,34.982751,-87.155536
Level Plains town,AL,31.307125,-85.768722
Lexington town,AL,34.959351,-87.37283
Libertyville town,AL,31.24005,-86.456955
Lillian CDP,AL,30.418904,-87.420751
Lincoln city,AL,33.580169,-86.127876
Linden town,AL,32.30136,-87.792583
Lineville city,AL,33.312832,-85.752278
Lipscomb city,AL,33.426005,-86.926103
Lisman town,AL,32.171729,-88.284092
Littleville town,AL,34.595121,-87.670729
Livingston city,AL,32.595549,-88.186929
Loachapoka town,AL,32.607946,-85.598479
Lockhart town,AL,31.013011,-86.350273
Locust Fork town,AL,33.876794,-86.647093
Lookout Mountain CDP,AL,34.115916,-85.965464
Louisville town,AL,31.781047,-85.558336
Lowndesboro town,AL,32.276422,-86.610848
Loxley city,AL,30.684588,-87.739213
Luverne city,AL,31.718941,-86.269082
Lynn town,AL,34.057591,-87.548643
McCalla CDP,AL,33.303112,-87.02666
McDonald Chapel CDP,AL,33.518576,-86.938462
Macedonia CDP,AL,33.403139,-88.239221
McIntosh town,AL,31.264957,-88.028369
McKenzie town,AL,31.54647,-86.725954
McMullen town,AL,33.1481,-88.175749
Madison city,AL,34.710533,-86.76228
Madrid town,AL,31.035635,-85.399205
Magnolia Springs town,AL,30.40341,-87.775895
Malcolm CDP,AL,31.198806,-88.000624
Malvern town,AL,31.143698,-85.522973
Maplesville town,AL,32.784391,-86.879694
Marbury CDP,AL,32.672984,-86.463728
Margaret city,AL,33.672861,-86.463942
Marion city,AL,32.631968,-87.317333
Maytown town,AL,33.549954,-87.000043
Meadowbrook CDP,AL,33.395235,-86.704373
Megargel CDP,AL,31.378141,-87.430649
Memphis town,AL,33.137044,-88.305942
Mentone town,AL,34.563209,-85.589704
Meridianville CDP,AL,34.874913,-86.580559
Midfield city,AL,33.455272,-86.922414
Midland City city,AL,31.315675,-85.493674
Midway town,AL,32.076373,-85.524417
Mignon CDP,AL,33.18658,-86.256886
Millbrook city,AL,32.501474,-86.373914
Millerville CDP,AL,33.191458,-85.929828
Millport town,AL,33.555935,-88.082382
Millry town,AL,31.621199,-88.327956
Minor CDP,AL,33.539011,-86.940073
Mobile city,AL,30.668246,-88.107853
Monroeville city,AL,31.516223,-87.327714
Montevallo city,AL,33.126053,-86.847702
Montgomery city,AL,32.348503,-86.267307
Moody city,AL,33.603429,-86.493786
Moores Mill CDP,AL,34.852143,-86.52038
Mooresville town,AL,34.625883,-86.880025
Morris city,AL,33.746223,-86.800755
Morrison Crossroads CDP,AL,33.417996,-85.488284
Mosses town,AL,32.188758,-86.679435
Moulton city,AL,34.488301,-87.282707
Moundville town,AL,32.996542,-87.627545
Mountain Brook city,AL,33.491488,-86.73447
Mount Olive CDP,AL,33.078454,-86.13304
Mount Olive CDP,AL,33.669286,-86.87549
Mount Vernon town,AL,31.087727,-88.013166
Movico CDP,AL,31.062763,-88.026619
Mulga town,AL,33.556313,-86.972304
Munford town,AL,33.527644,-85.953809
Muscle Shoals city,AL,34.742657,-87.633767
Myrtlewood town,AL,32.252088,-87.949261
Nanafalia CDP,AL,32.111393,-87.995757
Nances Creek CDP,AL,33.855501,-85.669104
Napier Field town,AL,31.314925,-85.454929
Natural Bridge town,AL,34.092195,-87.601
Nauvoo town,AL,33.984386,-87.48544
Nectar town,AL,33.979779,-86.620614
Needham town,AL,31.987,-88.336563
Newbern town,AL,32.591672,-87.535614
New Brockton town,AL,31.37671,-85.919028
New Hope city,AL,34.537972,-86.41237
New Market CDP,AL,34.892335,-86.425818
New Site town,AL,33.026041,-85.784536
Newton town,AL,31.341229,-85.588307
New Union CDP,AL,34.133682,-86.228002
Newville town,AL,31.420604,-85.33669
Nixburg CDP,AL,32.855488,-86.100838
North Courtland town,AL,34.680023,-87.305717
North Johns town,AL,33.367769,-87.100725
Northport city,AL,33.257565,-87.596396
Notasulga town,AL,32.555409,-85.668577
Oak Grove town,AL,33.190359,-86.303727
Oak Hill town,AL,31.92162,-87.085234
Oakman town,AL,33.714322,-87.388699
Odenville city,AL,33.700875,-86.423371
Ohatchee town,AL,33.789759,-86.029062
Oneonta city,AL,33.947038,-86.489793
Onycha town,AL,31.225693,-86.276024
Opelika city,AL,32.660739,-85.37889
Opp city,AL,31.284375,-86.257442
Orange Beach city,AL,30.293987,-87.595371
Orrville town,AL,32.306769,-87.245447
Our Town CDP,AL,32.842211,-85.967035
Owens Cross Roads city,AL,34.585458,-86.455027
Oxford city,AL,33.59641,-85.868219
Ozark city,AL,31.451615,-85.645035
Paint Rock town,AL,34.660934,-86.333952
Panola CDP,AL,32.946819,-88.262266
Parrish town,AL,33.732321,-87.280127
Pea Ridge CDP,AL,33.133805,-86.937949
Pelham city,AL,33.32183,-86.742197
Pell City city,AL,33.560312,-86.263634
Pennington town,AL,32.200612,-88.037572
Penton CDP,AL,33.009832,-85.474824
Perdido CDP,AL,31.005634,-87.630272
Perdido Beach town,AL,30.353879,-87.5048
Peterman CDP,AL,31.583669,-87.263042
Petrey town,AL,31.85216,-86.204007
Phenix City city,AL,32.453709,-85.031019
Phil Campbell town,AL,34.351547,-87.707359
Pickensville town,AL,33.235782,-88.289443
Piedmont city,AL,33.927557,-85.615267
Pike Road city,AL,32.273609,-86.118927
Pinckard town,AL,31.318989,-85.537836
Pine Apple town,AL,31.872155,-86.989059
Pine Hill town,AL,31.985884,-87.587516
Pine Level CDP,AL,32.579539,-86.454318
Pine Ridge town,AL,34.447915,-85.783831
Pinson city,AL,33.709262,-86.663613
Pisgah town,AL,34.684366,-85.84601
Pleasant Grove city,AL,33.493967,-86.97815
Pleasant Groves town,AL,34.737619,-86.197637
Point Clear CDP,AL,30.486112,-87.911132
Pollard town,AL,31.023877,-87.172978
Powell town,AL,34.532588,-85.897553
Prattville city,AL,32.449041,-86.449401
Priceville city,AL,34.529583,-86.882177
Prichard city,AL,30.773337,-88.131416
Providence town,AL,32.342386,-87.776115
Putnam CDP,AL,32.018084,-88.033057
Ragland town,AL,33.748325,-86.135927
Rainbow City city,AL,33.928777,-86.084228
Rainsville city,AL,34.494364,-85.836505
Ranburne town,AL,33.525853,-85.339013
Ray CDP,AL,32.868141,-86.045252
Red Bay city,AL,34.436097,-88.136515
Redland CDP,AL,32.481426,-86.143759
Red Level town,AL,31.406711,-86.606217
Redstone Arsenal CDP,AL,34.677035,-86.650344
Reece City town,AL,34.077241,-86.034498
Reeltown CDP,AL,32.574211,-85.819562
Reform town,AL,33.37826,-88.017273
Rehobeth town,AL,31.122548,-85.439648
Remlap CDP,AL,33.806972,-86.593941
Repton town,AL,31.409716,-87.238931
Ridgeville town,AL,34.056929,-86.102874
River Falls town,AL,31.352397,-86.544609
Riverside city,AL,33.616394,-86.204357
Riverview town,AL,31.06126,-87.077531
Roanoke city,AL,33.145305,-85.369526
Robertsdale city,AL,30.557139,-87.704723
Rock Creek CDP,AL,33.477227,-87.081249
Rockford town,AL,32.896866,-86.208346
Rock Mills CDP,AL,33.15994,-85.28107
Rockville CDP,AL,31.405776,-87.844212
Rogersville town,AL,34.827714,-87.284092
Rosa town,AL,33.992756,-86.500325
Russellville city,AL,34.505719,-87.728123
Rutledge town,AL,31.724072,-86.302008
St. Florian town,AL,34.874098,-87.623736
St. Stephens CDP,AL,31.571111,-88.052834
Saks CDP,AL,33.711401,-85.853698
Samson town,AL,31.112417,-86.046735
Sand Rock town,AL,34.231228,-85.770416
Sanford town,AL,31.298819,-86.398848
Saraland city,AL,30.854509,-88.109809
Sardis City town,AL,34.172413,-86.119104
Satsuma city,AL,30.857874,-88.063383
Scottsboro city,AL,34.64462,-86.048155
Section town,AL,34.581644,-85.984942
Selma city,AL,32.416983,-87.035702
Selmont-West Selmont CDP,AL,32.378253,-87.006888
Semmes city,AL,30.796223,-88.24759
Sheffield city,AL,34.757019,-87.697085
Shelby CDP,AL,33.106882,-86.585403
Shiloh town,AL,34.462666,-85.877617
Shoal Creek CDP,AL,33.430763,-86.610925
Shorter town,AL,32.411501,-85.972808
Silas town,AL,31.767802,-88.325923
Silverhill town,AL,30.545359,-87.750557
Sims Chapel CDP,AL,31.249255,-88.142971
Sipsey town,AL,33.822119,-87.082918
Skyline town,AL,34.798524,-86.12243
Slocomb city,AL,31.112126,-85.59866
